epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,5660.93,0.53047,0.3169,0.95615,0.95239,0.96339,0.96389,0.81771,0.52695,0.30113,0.94289,0.000785947,0.000785947,0.000785947
136,5695.76,0.53297,0.31305,0.94649,0.95349,0.9647,0.96685,0.81948,0.54131,0.29276,0.9477,0.000779372,0.000779372,0.000779372
137,5771.94,0.53256,0.31745,0.96635,0.95529,0.96859,0.96836,0.82252,0.53821,0.29181,0.95704,0.000772797,0.000772797,0.000772797
138,5807.96,0.51893,0.31818,0.95127,0.95423,0.98222,0.97131,0.82946,0.5225,0.28553,0.9474,0.000766222,0.000766222,0.000766222
139,5843.98,0.50513,0.29755,0.9387,0.96764,0.95401,0.96789,0.83228,0.52417,0.27598,0.94072,0.000759647,0.000759647,0.000759647
140,5879.9,0.51402,0.29895,0.94344,0.96758,0.95567,0.96606,0.82279,0.52716,0.29459,0.94492,0.000753072,0.000753072,0.000753072
141,5915.89,0.50773,0.29637,0.93852,0.95551,0.95938,0.96504,0.83246,0.51659,0.28167,0.93665,0.000746497,0.000746497,0.000746497
142,5951.93,0.51785,0.30287,0.95166,0.96649,0.9693,0.96976,0.83027,0.51778,0.29152,0.93649,0.000739922,0.000739922,0.000739922
143,5988.02,0.51332,0.30272,0.94502,0.95372,0.95269,0.96175,0.82492,0.51098,0.28673,0.93051,0.000733347,0.000733347,0.000733347
144,6024.1,0.51761,0.30091,0.94033,0.95468,0.96024,0.95943,0.82846,0.52184,0.28455,0.93481,0.000726772,0.000726772,0.000726772
145,6060.18,0.51948,0.30312,0.94434,0.96189,0.95954,0.96552,0.83335,0.51683,0.29181,0.92646,0.000720197,0.000720197,0.000720197
146,6096.85,0.5067,0.29974,0.94516,0.94319,0.97084,0.96176,0.82768,0.51974,0.27991,0.92736,0.000713622,0.000713622,0.000713622
147,6132.98,0.51913,0.30543,0.9443,0.94947,0.9714,0.96872,0.83499,0.50845,0.27835,0.91861,0.000707047,0.000707047,0.000707047
148,6168.96,0.5036,0.29614,0.93839,0.95774,0.96717,0.96329,0.83425,0.50829,0.27479,0.91765,0.000700472,0.000700472,0.000700472
149,6204.96,0.51192,0.30242,0.93743,0.95396,0.97294,0.96985,0.83057,0.50504,0.278,0.90685,0.000693897,0.000693897,0.000693897
150,6241.01,0.50432,0.30477,0.92897,0.95563,0.97917,0.96721,0.84,0.50089,0.27475,0.90774,0.000687322,0.000687322,0.000687322
151,6277.08,0.49171,0.29202,0.92131,0.95135,0.96074,0.96625,0.83419,0.50529,0.28738,0.91181,0.000680747,0.000680747,0.000680747
152,6313.13,0.49715,0.29416,0.92659,0.94642,0.97044,0.96703,0.83795,0.5062,0.28679,0.90882,0.000674172,0.000674172,0.000674172
153,6349.3,0.48494,0.28692,0.92808,0.96833,0.96946,0.96546,0.83706,0.49055,0.27436,0.90394,0.000667597,0.000667597,0.000667597
154,6385.35,0.48991,0.29282,0.92981,0.96045,0.96945,0.96327,0.83362,0.49724,0.27202,0.90787,0.000661022,0.000661022,0.000661022
155,6420.93,0.51078,0.29761,0.93577,0.95357,0.97988,0.9688,0.83091,0.50367,0.27658,0.92413,0.000654447,0.000654447,0.000654447
156,6456.59,0.4898,0.29623,0.93145,0.95068,0.96713,0.96115,0.82601,0.49713,0.28957,0.91504,0.000647872,0.000647872,0.000647872
157,6492.45,0.48705,0.28928,0.92724,0.95789,0.9556,0.96483,0.83102,0.50271,0.29327,0.9205,0.000641297,0.000641297,0.000641297
158,6528.42,0.48886,0.29143,0.92694,0.9616,0.96708,0.96868,0.84084,0.49114,0.27593,0.90335,0.000634722,0.000634722,0.000634722
159,6564.42,0.48427,0.28436,0.9286,0.96241,0.96623,0.96696,0.83992,0.50129,0.27879,0.92028,0.000628147,0.000628147,0.000628147
160,6600.45,0.50677,0.29613,0.94166,0.96179,0.96046,0.96785,0.83661,0.50871,0.28079,0.94046,0.000621572,0.000621572,0.000621572
161,6636.47,0.48434,0.2821,0.93367,0.96666,0.9539,0.96512,0.83215,0.50924,0.27739,0.9254,0.000614997,0.000614997,0.000614997
162,6672.51,0.4879,0.28192,0.93067,0.96058,0.96293,0.97153,0.84181,0.48916,0.26867,0.91214,0.000608422,0.000608422,0.000608422
163,6708.58,0.48302,0.29098,0.93255,0.94684,0.98537,0.96984,0.83718,0.503,0.27019,0.93006,0.000601847,0.000601847,0.000601847
164,6744.66,0.48571,0.288,0.93929,0.95977,0.96549,0.96783,0.8404,0.50303,0.27719,0.92503,0.000595272,0.000595272,0.000595272
165,6780.62,0.47441,0.27782,0.92032,0.95156,0.98033,0.96898,0.84123,0.49344,0.27216,0.91327,0.000588697,0.000588697,0.000588697
166,6816.53,0.47548,0.28021,0.92414,0.9467,0.97919,0.97343,0.8453,0.49455,0.27822,0.91224,0.000582122,0.000582122,0.000582122
167,6852.59,0.47205,0.27994,0.92178,0.95618,0.97248,0.96977,0.84184,0.49848,0.27071,0.91312,0.000575547,0.000575547,0.000575547
168,6888.6,0.47502,0.28055,0.92896,0.96485,0.9639,0.96943,0.84006,0.49381,0.27173,0.91144,0.000568972,0.000568972,0.000568972
169,6924.57,0.46851,0.2788,0.9193,0.96898,0.96524,0.97284,0.84022,0.48602,0.2638,0.90769,0.000562397,0.000562397,0.000562397
