epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,3475.07,1.15387,0.69382,1.21164,0.93944,0.86409,0.93095,0.58496,1.33843,0.67198,1.37797,0.000919283,0.000919283,0.000919283
139,3499.85,1.14103,0.67303,1.19418,0.92317,0.8619,0.92727,0.57642,1.37564,0.70737,1.40707,0.000911394,0.000911394,0.000911394
140,3524.77,1.1218,0.65537,1.19228,0.92132,0.87426,0.92946,0.58058,1.35084,0.65507,1.3779,0.000903506,0.000903506,0.000903506
141,3549.38,1.13929,0.67152,1.20568,0.94107,0.86158,0.93083,0.58635,1.32919,0.62706,1.36109,0.000895618,0.000895618,0.000895618
142,3574.06,1.15022,0.68306,1.21419,0.92899,0.86997,0.92954,0.58442,1.32412,0.6353,1.34845,0.000887729,0.000887729,0.000887729
143,3598.8,1.14711,0.6813,1.20622,0.91372,0.87416,0.92916,0.5844,1.33384,0.63843,1.35837,0.000879841,0.000879841,0.000879841
144,3623.33,1.13767,0.6817,1.20388,0.91255,0.86326,0.92097,0.57334,1.35123,0.6626,1.37347,0.000871952,0.000871952,0.000871952
145,3652.38,1.12991,0.67431,1.20263,0.91726,0.86577,0.9191,0.57296,1.36082,0.65079,1.37778,0.000864064,0.000864064,0.000864064
146,3676.66,1.14135,0.67555,1.20715,0.92401,0.87225,0.92889,0.58894,1.32641,0.64127,1.34873,0.000856175,0.000856175,0.000856175
147,3701.09,1.12273,0.67589,1.20033,0.92224,0.86535,0.92543,0.58825,1.31769,0.622,1.34321,0.000848287,0.000848287,0.000848287
148,3725.67,1.11691,0.66549,1.18679,0.92459,0.86745,0.92762,0.5804,1.34735,0.64007,1.36954,0.000840398,0.000840398,0.000840398
149,3750.5,1.14032,0.68307,1.19729,0.94137,0.86213,0.92561,0.57827,1.34075,0.63168,1.35581,0.00083251,0.00083251,0.00083251
150,3775.36,1.121,0.65919,1.19276,0.93268,0.86745,0.927,0.58764,1.32553,0.65613,1.36242,0.000824622,0.000824622,0.000824622
151,3800,1.10398,0.65822,1.17745,0.92739,0.86796,0.92958,0.58517,1.33474,0.62776,1.36337,0.000816733,0.000816733,0.000816733
152,3824.56,1.13582,0.66669,1.19319,0.92044,0.8771,0.92805,0.58178,1.33107,0.62619,1.35762,0.000808845,0.000808845,0.000808845
153,3849.34,1.11494,0.66245,1.19272,0.93053,0.87668,0.93179,0.58084,1.33625,0.63762,1.37512,0.000800956,0.000800956,0.000800956
154,3874.16,1.12644,0.66234,1.20036,0.92943,0.86188,0.92373,0.58122,1.34439,0.65198,1.35967,0.000793068,0.000793068,0.000793068
155,3898.87,1.10675,0.65135,1.18036,0.93262,0.86511,0.92881,0.5767,1.3358,0.64205,1.36337,0.000785179,0.000785179,0.000785179
156,3923.55,1.10071,0.66007,1.17735,0.93888,0.86983,0.92832,0.58739,1.33772,0.63201,1.35799,0.000777291,0.000777291,0.000777291
157,3948.27,1.09458,0.64722,1.17797,0.92754,0.87517,0.92728,0.58331,1.33739,0.64967,1.37459,0.000769402,0.000769402,0.000769402
158,3975.09,1.11013,0.65437,1.18185,0.93575,0.86753,0.92719,0.58523,1.33797,0.6201,1.37139,0.000761514,0.000761514,0.000761514
159,4003.62,1.10173,0.64851,1.18616,0.93041,0.86829,0.92792,0.59357,1.32893,0.62187,1.36685,0.000753625,0.000753625,0.000753625
160,4033.86,1.09168,0.64023,1.18336,0.9205,0.8742,0.93149,0.58646,1.31881,0.62083,1.35414,0.000745737,0.000745737,0.000745737
161,4058.21,1.12225,0.66989,1.20183,0.92824,0.86811,0.92746,0.5844,1.31571,0.63975,1.34935,0.000737849,0.000737849,0.000737849
162,4082.81,1.10887,0.65672,1.18471,0.91347,0.87961,0.93349,0.58689,1.33605,0.62537,1.37526,0.00072996,0.00072996,0.00072996
163,4107.33,1.09009,0.63652,1.17367,0.93021,0.87221,0.92601,0.59002,1.32731,0.60812,1.36002,0.000722072,0.000722072,0.000722072
164,4132.02,1.094,0.64836,1.1743,0.92952,0.86849,0.92929,0.58869,1.33282,0.61884,1.37308,0.000714183,0.000714183,0.000714183
165,4156.77,1.07881,0.64849,1.1675,0.92767,0.87374,0.9288,0.58387,1.33472,0.63482,1.37522,0.000706295,0.000706295,0.000706295
